;RORO;;Container ship;;Oil tanker;;Chemical tanker;;Ferry;
;media;dev.std;media;dev.std;media;dev.std;media;dev.std;media;dev.std
$L_{W}$(A);87.5;4.4;89.0;4.0;82.6;2.7;85.9;3.5;84.3;2.2
20 Hz;99.2;7.3;92.7;5.8;86.5;5.7;87.1;4.6;93.8;4.2
25 Hz;98.3;6.8;91.7;4.3;85.9;4.3;89.5;4.6;94.6;7.3
31.5 Hz;96.7;5.0;93.5;5.0;88.3;6.4;90.6;4.9;95.1;3.4
40 Hz;97.7;5.5;97.9;5.2;90.5;5.7;94.4;7.0;98.1;4.9
50 Hz;96.9;3.9;98.1;3.6;89.0;2.7;95.0;7.1;96.5;3.7
63 Hz;97.1;4.3;96.7;4.9;87.3;4.3;91.8;5.8;95.1;4.8
80 Hz;94.8;4.2;93.6;5.0;89.5;3.4;91.1;4.1;89.5;5.3
100 Hz;91.4;4.8;92.3;6.1;87.6;5.4;89.2;4.2;89.2;6.1
125 Hz;90.0;4.0;89.5;4.7;84.2;3.9;88.3;6.0;86.1;5.5
160 Hz;88.8;5.7;88.5;5.3;80.3;5.1;84.8;6.6;83.0;3.1
200 Hz;86.2;5.2;87.3;4.8;78.5;4.3;83.2;3.8;80.5;1.8
250 Hz;84.6;5.1;85.1;5.1;78.0;4.7;84.5;3.9;78.5;2.1
315 Hz;83.1;5.9;83.8;4.7;76.7;3.4;81.3;3.6;77.5;2.5
400 Hz;81.2;5.0;83.8;4.5;75.1;3.1;79.8;2.9;78.3;3.0
500 Hz;80.1;5.1;82.5;4.8;74.2;2.8;78.6;3.1;77.1;4.5
630 Hz;78.7;5.4;81.4;4.7;73.1;2.2;77.3;3.4;73.7;2.5
800 Hz;77.2;4.9;79.8;4.6;72.4;3.6;75.9;3.6;75.8;4.8
1 kHz;75.9;4.4;78.1;4.2;71.5;3.0;75.4;4.7;73.4;3.2
1.25 kHz;74.1;4.7;76.2;4.0;70.9;2.6;73.1;4.1;73.2;5.1
1.6 kHz;72.5;4.6;74.3;3.6;69.3;2.8;71.8;4.2;71.2;4.2
2 kHz;70.9;5.4;72.3;3.4;67.8;2.8;69.6;4.3;69.1;3.6
2.5 kHz;68.8;4.4;70.7;3.1;68.6;3.0;67.8;3.8;66.5;2.1
3.15 kHz;67.1;3.8;69.1;3.1;66.6;2.1;67.0;4.1;65.2;2.1
4 kHz;65.6;4.4;67.6;3.9;64.7;2.2;65.0;4.3;63.3;1.9
5 kHz;64.8;4.8;65.5;2.5;64.0;2.7;63.7;4.1;62.2;2.2
6.3 kHz;64.5;4.9;64.7;2.6;64.4;3.6;62.6;4.0;61.9;2.6
8 kHz;64.4;5.3;64.3;2.5;63.6;4.0;62.1;4.7;62.2;3.0
10 kHz;67.0;5.6;67.4;4.6;65.0;4.6;64.1;5.4;64.8;3.6
12.5 kHz;68.6;5.9;67.8;5.3;66.9;5.8;65.3;6.4;67.0;6.2
16 kHz;69.2;6.5;67.7;5.1;67.6;6.2;66.1;6.8;68.8;7.6
20 kHz;69.2;6.7;67.0;3.7;67.5;5.3;67.5;5.7;70.4;8.1
